# AUTO-GENERATED by `make context`. DO NOT EDIT. generated_from=runindex/ generated_from_commit=f96edc1ccdda8d124e6069edeeac3ead8ec9cfdd generated_from_date=2026-08-09T18:43:15+00:00
experiment_id,group,step,description,arm,control_of,task_ids,n_runs,n_seeds,hosts,split,primary_mean,primary_pstd,primary_sstd,delta_primary,delta_pstd_primary,abs_delta_over_sigma_primary,verdict_metric,verdict_10_1,verdict_10_1_sstd,verdict_10_1_agree,sigma_source,delta_sigma_source,sigma_interpretation
_smoke_prior/s0/maskdino_bbox@val,_smoke_prior,s0,maskdino_bbox,unknown,,,3,3,,val,,,,,,,,,,,,,unknown
_smoke_prior/s0/varifocanet_bbox@val,_smoke_prior,s0,varifocanet_bbox,unknown,,,3,3,,val,,,,,,,,,,,,,unknown
baselines/s0/aligndetr_bbox@val,baselines,s0,aligndetr_bbox,unknown,,,3,3,philip,val,,,,,,,,,,,,,unknown
baselines/s0/codetr_bbox@val,baselines,s0,codetr_bbox,unknown,,,3,3,,val,,,,,,,,,,,,,unknown
baselines/s0/dacdetr_bbox@val,baselines,s0,dacdetr_bbox,unknown,,,3,3,philip,val,,,,,,,,,,,,,unknown
baselines/s0/ddq_bbox@val,baselines,s0,ddq_bbox,unknown,,,3,3,philip,val,,,,,,,,,,,,,unknown
baselines/s0/ddq_smoke@val,baselines,s0,ddq_smoke,unknown,,,1,1,,val,,,,,,,,,,,,,unknown
baselines/s0/dimaskdino_bbox@val,baselines,s0,dimaskdino_bbox,unknown,,,3,3,philip,val,,,,,,,,,,,,,unknown
baselines/s0/focusdetr_bbox@val,baselines,s0,focusdetr_bbox,unknown,,,3,3,philip,val,,,,,,,,,,,,,unknown
baselines/s0/maskdino_bbox@val#None,baselines,s0,maskdino_bbox,unknown,,,3,3,,val,,,,,,,,,,,,,unknown
baselines/s0/maskdino_bbox@val#a63aecae,baselines,s0,maskdino_bbox,unknown,,,3,3,,val,,,,,,,,,,,,,unknown
baselines/s0/maskdino_bbox_nmsfree@val,baselines,s0,maskdino_bbox_nmsfree,unknown,,,3,3,andrew,val,,,,,,,,,,,,,unknown
baselines/s0/mrdetralign_bbox@val,baselines,s0,mrdetralign_bbox,unknown,,,3,3,philip,val,,,,,,,,,,,,,unknown
baselines/s0/mrdetrdino_bbox@val,baselines,s0,mrdetrdino_bbox,unknown,,,3,3,philip,val,,,,,,,,,,,,,unknown
baselines/s0/relationdetr_bbox@val,baselines,s0,relationdetr_bbox,unknown,,,3,3,philip,val,,,,,,,,,,,,,unknown
baselines/s0/sensex_codino_bbox@val,baselines,s0,sensex_codino_bbox,unknown,,,1,1,philip,val,,,,,,,,,,,,,unknown
baselines/s0/stabledino_bbox@val,baselines,s0,stabledino_bbox,unknown,,,3,3,philip,val,,,,,,,,,,,,,unknown
baselines/s0/varifocanet_bbox@val#None,baselines,s0,varifocanet_bbox,unknown,,,3,3,,val,,,,,,,,,,,,,unknown
baselines/s0/varifocanet_bbox@val#a63aecae,baselines,s0,varifocanet_bbox,unknown,,,3,3,,val,,,,,,,,,,,,,unknown
baselines/s0/wiring_verification@val,baselines,s0,wiring_verification,unknown,,"T-2026-08-09-run-wiring-verification,T-2026-08-10-third-host-verification",2,1,"bengio,lecun",val,,,,,,,,,,,,,unknown
baselines/s0_frozen/relationdetr_s0frozen_cocohead@val,baselines,s0_frozen,relationdetr_s0frozen_cocohead,unknown,,,3,3,lecun,val,,,,,,,,,,,,,unknown
baselines/s0_frozen/relationdetr_s0frozen_neck_cocohead@val,baselines,s0_frozen,relationdetr_s0frozen_neck_cocohead,unknown,,,3,3,lecun,val,,,,,,,,,,,,,unknown
g2_followup_2026-07-29/base/base@val,g2_followup_2026-07-29,base,base,unknown,,,6,3,lecun,val,,,,,,,,,,,,,unknown
g2_followup_2026-07-29/bboxROI/bboxROI@val,g2_followup_2026-07-29,bboxROI,bboxROI,unknown,,,6,3,lecun,val,,,,,,,,,,,,,unknown
g2_followup_2026-07-29/bboxROI_handROIbbox2/bboxROI_handROIbbox2@val,g2_followup_2026-07-29,bboxROI_handROIbbox2,bboxROI_handROIbbox2,unknown,,,3,3,lecun,val,,,,,,,,,,,,,unknown
g2_followup_2026-07-29/handPresence/handPresence@val,g2_followup_2026-07-29,handPresence,handPresence,unknown,,,3,3,lecun,val,,,,,,,,,,,,,unknown
g2_followup_2026-07-29/handROIbbox2/handROIbbox2@val,g2_followup_2026-07-29,handROIbbox2,handROIbbox2,unknown,,,3,3,lecun,val,,,,,,,,,,,,,unknown
g2_followup_2026-07-29/handROIbbox4/handROIbbox4@val,g2_followup_2026-07-29,handROIbbox4,handROIbbox4,unknown,,,3,3,lecun,val,,,,,,,,,,,,,unknown
g2_followup_2026-07-29/handROImask2/handROImask2@val,g2_followup_2026-07-29,handROImask2,handROImask2,unknown,,,3,3,lecun,val,,,,,,,,,,,,,unknown
g2_followup_2026-07-29/shuffleROI/shuffleROI@val,g2_followup_2026-07-29,shuffleROI,shuffleROI,unknown,,,3,3,lecun,val,,,,,,,,,,,,,unknown
g2_main_2026-07-29_lecun/base/base@val,g2_main_2026-07-29_lecun,base,base,unknown,,,3,3,lecun,val,,,,,,,,,,,,,unknown
g2_main_2026-07-29_lecun/bboxROI/bboxROI@val,g2_main_2026-07-29_lecun,bboxROI,bboxROI,unknown,,,3,3,lecun,val,,,,,,,,,,,,,unknown
g2_main_2026-07-29_lecun/maskROI/maskROI@val,g2_main_2026-07-29_lecun,maskROI,maskROI,unknown,,,3,3,lecun,val,,,,,,,,,,,,,unknown
g2_main_2026-07-29_lecun/randROI/randROI@val,g2_main_2026-07-29_lecun,randROI,randROI,unknown,,,3,3,lecun,val,,,,,,,,,,,,,unknown
hand2det_dev/hand2det_1ep_4ch_all/hand2det_1ep_4ch_all@val,hand2det_dev,hand2det_1ep_4ch_all,hand2det_1ep_4ch_all,unknown,,,1,1,efros,val,,,,,,,,,,,,,unknown
hand2det_dev/hand2det_1ep_4ch_film/hand2det_1ep_4ch_film@val,hand2det_dev,hand2det_1ep_4ch_film,hand2det_1ep_4ch_film,unknown,,,1,1,efros,val,,,,,,,,,,,,,unknown
hand2det_dev/hand2det_4ch_film_inj/hand2det_4ch_film_inj@val,hand2det_dev,hand2det_4ch_film_inj,hand2det_4ch_film_inj,unknown,,,1,1,efros,val,,,,,,,,,,,,,unknown
hand2det_dev/identity_ctrl_4ch/identity_ctrl_4ch@val,hand2det_dev,_identity_ctrl_4ch,identity_ctrl_4ch,unknown,,,3,3,efros,val,,,,,,,,,,,,,unknown
hand2det_dev/identity_ctrl_4ch_real/identity_ctrl_4ch_real@val,hand2det_dev,_identity_ctrl_4ch_real,identity_ctrl_4ch_real,unknown,,,3,3,efros,val,,,,,,,,,,,,,unknown
hand2det_dev/identity_ctrl_5ch/identity_ctrl_5ch@val,hand2det_dev,_identity_ctrl_5ch,identity_ctrl_5ch,unknown,,,3,3,efros,val,,,,,,,,,,,,,unknown
hand2det_dev/identity_inj_4ch/identity_inj_4ch@val,hand2det_dev,_identity_inj_4ch,identity_inj_4ch,unknown,,,3,3,efros,val,,,,,,,,,,,,,unknown
hand2det_dev/identity_inj_4ch_real/identity_inj_4ch_real@val,hand2det_dev,_identity_inj_4ch_real,identity_inj_4ch_real,unknown,,,3,3,efros,val,,,,,,,,,,,,,unknown
hand2det_dev/identity_inj_5ch/identity_inj_5ch@val,hand2det_dev,_identity_inj_5ch,identity_inj_5ch,unknown,,,3,3,efros,val,,,,,,,,,,,,,unknown
phase0/s3/phase_frame@None,phase0,s3,phase_frame,unknown,,,3,3,,,,,,,,,,,,,,,unknown
phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_augstrong_hires_seed42,phase1,s4_phase_baseline,frozen_tecno_phase_baseline,unknown,,,3,3,efros,val,,,,,,,,,,,,,unknown
phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_augstrong_seed123,phase1,s4_phase_baseline,frozen_tecno_phase_baseline,unknown,,,6,3,efros,val,,,,,,,,,,,,,unknown
phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_augstrong_seed42,phase1,s4_phase_baseline,frozen_tecno_phase_baseline,unknown,,,11,3,efros,val,,,,,,,,,,,,,unknown
phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_augstrong_seed456,phase1,s4_phase_baseline,frozen_tecno_phase_baseline,unknown,,,6,3,efros,val,,,,,,,,,,,,,unknown
phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed123,phase1,s4_phase_baseline,frozen_tecno_phase_baseline,unknown,,,6,3,efros,val,,,,,,,,,,,,,unknown
phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,phase1,s4_phase_baseline,frozen_tecno_phase_baseline,baseline,,,17,3,"efros,lecun",val,,,,,,,,,,,,,unknown
phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed456,phase1,s4_phase_baseline,frozen_tecno_phase_baseline,unknown,,,6,3,efros,val,,,,,,,,,,,,,unknown
phase1/s4_phase_baseline/frozen_tecno_phase_baseline_aligndetr@val~aligndetr_seed42,phase1,s4_phase_baseline,frozen_tecno_phase_baseline_aligndetr,unknown,,,3,3,philip,val,,,,,,,,,,,,,unknown
phase1/s4_phase_baseline/frozen_tecno_phase_baseline_neck@val~relation_detr_seed42,phase1,s4_phase_baseline,frozen_tecno_phase_baseline_neck,unknown,,,3,3,lecun,val,,,,,,,,,,,,,unknown
phase1/s4_phase_baseline/frozen_tecno_phase_necktransfer@val~relation_detr_seed42,phase1,s4_phase_baseline,frozen_tecno_phase_necktransfer,unknown,,,3,3,lecun,val,,,,,,,,,,,,,unknown
transfer/b1_mtl/b1_naive_mtl_fixed@val,transfer,b1_mtl,b1_naive_mtl_fixed,unknown,,,3,3,lecun,val,,,,,,,,,,,,,unknown
transfer/b1_mtl/b1_naive_mtl_uncertainty@val,transfer,b1_mtl,b1_naive_mtl_uncertainty,unknown,,,3,3,lecun,val,,,,,,,,,,,,,unknown
transfer/b2a_base_oracle_noise_p010/b2a_base_oracle_noise_p010@val~relation_detr_seed42,transfer,b2a_base_oracle_noise_p010,b2a_base_oracle_noise_p010,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,,3,3,lecun,val,0.9337733773377338,0.0039726006788268165,0.004865422307479889,0.03701398711299705,0.0065008384892816925,5.693725074699847,accuracy,significant,significant,True,paired_delta,paired,mixed_with_nondeterminism
transfer/b2a_base_oracle_noise_p020/b2a_base_oracle_noise_p020@val~relation_detr_seed42,transfer,b2a_base_oracle_noise_p020,b2a_base_oracle_noise_p020,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,,3,3,lecun,val,0.9157315731573157,0.003898799812248505,0.004775035074633846,0.018972182932579,0.007176944569581901,2.6434902413749923,accuracy,significant,significant,True,paired_delta,paired,mixed_with_nondeterminism
transfer/b2a_base_oracle_noise_p030/b2a_base_oracle_noise_p030@val~relation_detr_seed42,transfer,b2a_base_oracle_noise_p030,b2a_base_oracle_noise_p030,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,,3,3,lecun,val,0.9091309130913091,0.0008232469497852397,0.0010082674796382414,0.012371522866572393,0.0034155500854093105,3.622117245307449,accuracy,significant,significant,True,paired_delta,paired,mixed_with_nondeterminism
transfer/b2a_base_oracle_top3noise_p010/b2a_base_oracle_top3noise_p010@val~relation_detr_seed42,transfer,b2a_base_oracle_top3noise_p010,b2a_base_oracle_top3noise_p010,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,,3,3,lecun,val,0.9414741474147414,0.002546938812495096,0.0031193502483515528,0.04471475719000473,0.005928877934232792,7.541858288534811,accuracy,significant,significant,True,paired_delta,paired,mixed_with_nondeterminism
transfer/b2a_base_oracle_top3noise_p020/b2a_base_oracle_top3noise_p020@val~relation_detr_seed42,transfer,b2a_base_oracle_top3noise_p020,b2a_base_oracle_top3noise_p020,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,,3,3,lecun,val,0.9331133113311331,0.002040400109019948,0.0024989695691090205,0.03635392110639638,0.0049137170381046,7.39845636703969,accuracy,significant,significant,True,paired_delta,paired,mixed_with_nondeterminism
transfer/b2a_base_oracle_top3noise_p030/b2a_base_oracle_top3noise_p030@val~relation_detr_seed42,transfer,b2a_base_oracle_top3noise_p030,b2a_base_oracle_top3noise_p030,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,,3,3,lecun,val,0.9271727172717271,0.003064551876168143,0.003753294193450405,0.03041332704699044,0.006244291221993858,4.8705811381550514,accuracy,significant,significant,True,paired_delta,paired,mixed_with_nondeterminism
transfer/b2a_det2phase/b2a_det2phase_toolpresence@val~relation_detr_seed42,transfer,b2a_det2phase,b2a_det2phase_toolpresence,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,,3,3,lecun,val,0.9368536853685369,0.0011218964826386654,0.0013740369633439683,0.04009429514380014,0.0035583477472134507,11.26767196241516,accuracy,significant,significant,True,paired_delta,paired,mixed_with_nondeterminism
transfer/b2a_det2phase_oracletool/b2a_det2phase_oracletool@val~relation_detr_seed42,transfer,b2a_det2phase_oracletool,b2a_det2phase_oracletool,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,,8,5,"efros,lecun",val,0.9575907590759076,0.003126616389685883,0.0033424935171647587,0.05978626434071984,0.0052336910132569,11.423346198558852,accuracy,significant,significant,True,paired_delta,paired,mixed_with_nondeterminism
transfer/b2a_det2phase_toolpresence/b2a_det2phase_toolpresence@val~relation_detr_augstrong_hires_seed42,transfer,b2a_det2phase_toolpresence,b2a_det2phase_toolpresence,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_augstrong_hires_seed42,,3,3,efros,val,0.9311331133113311,0.0015557904976601894,0.001905446432969085,0.02354235423542354,0.0022437929652773672,10.492213229892778,accuracy,significant,significant,True,paired_delta,paired,unknown
transfer/b2a_det2phase_toolpresence/b2a_det2phase_toolpresence@val~relation_detr_augstrong_seed123,transfer,b2a_det2phase_toolpresence,b2a_det2phase_toolpresence,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_augstrong_seed123,,3,3,efros,val,0.9342134213421343,0.0024892647962562403,0.003048714292750459,0.026732673267326718,0.009904656453550997,2.699000555212854,accuracy,significant,significant,True,paired_delta,paired,seed_effect
transfer/b2a_det2phase_toolpresence/b2a_det2phase_toolpresence@val~relation_detr_augstrong_seed42,transfer,b2a_det2phase_toolpresence,b2a_det2phase_toolpresence,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_augstrong_seed42,,8,3,efros,val,0.938036303630363,0.0018504671198024405,0.001978232562226029,0.024928492849284962,0.001470146561141323,16.956467816332648,accuracy,significant,significant,True,paired_delta,paired,mixed_with_nondeterminism
transfer/b2a_det2phase_toolpresence/b2a_det2phase_toolpresence@val~relation_detr_augstrong_seed456,transfer,b2a_det2phase_toolpresence,b2a_det2phase_toolpresence,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_augstrong_seed456,,3,3,efros,val,0.9353135313531353,0.0014259055442041567,0.0017463705023528736,0.02134213421342131,0.0035169125111432224,6.068429096771516,accuracy,significant,significant,True,paired_delta,paired,seed_effect
transfer/b2a_det2phase_toolpresence/b2a_det2phase_toolpresence@val~relation_detr_seed123,transfer,b2a_det2phase_toolpresence,b2a_det2phase_toolpresence,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed123,,3,3,efros,val,0.9403740374037404,0.0008232469497852397,0.0010082674796382414,0.043894389438943894,0.004183312066409554,10.492736076612495,accuracy,significant,significant,True,paired_delta,paired,seed_effect
